NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1091,경기도 성남시 분당구 서현동,255-1,0255,0001,분당풍림아이원플러스오피스텔,60,202408,27,"40,500",7,개인,개인,2004,서현로 170,-,중개거래,경기 성남시 분당구
1092,서울특별시 중구 중림동,363,0363,0000,쌍용 더 플래티넘 서울역,17.56,202408,27,"27,000",18,법인,개인,2023,청파로 454,-,중개거래,서울 마포구
1093,부산광역시 남구 대연동,Apr.86,0086,0004,경성대 삼정 그린코아 오피스텔,23.4607,202408,27,"7,500",13,개인,개인,2011,수영로 319-8,-,직거래,-
1094,경기도 광명시 소하동,1342-4,1342,0004,소하람 1,16.59,202408,27,"8,300",4,개인,개인,2017,소하로76번길 21,-,중개거래,경기 광명시
1095,경기도 김포시 구래동,6871-54,6871,0054,스위트엠 아크라시티 3차,20.5359,202408,27,"5,950",7,법인,개인,2021,김포한강10로133번길 56,-,중개거래,경기 김포시
1096,경기도 광명시 소하동,1342-4,1342,0004,소하람 1,16.67,202408,27,"8,050",5,개인,개인,2017,소하로76번길 21,-,중개거래,경기 광명시
1097,서울특별시 구로구 구로동,182-6,0182,0006,한라빌리언스 오피스텔,25.99,202408,27,"14,850",12,법인,개인,2003,디지털로 316,-,중개거래,서울 구로구
1098,부산광역시 부산진구 부전동,394-8,0394,0008,서면에코팰리스시티,42.3818,202408,27,"29,867",15,법인,법인,2023,새싹로 38,-,직거래,-
1099,경기도 화성시 오산동,973,0973,0000,동탄역 반도유보라 아이비파크 8.0,56.2481,202408,27,"35,000",24,개인,개인,2018,동탄광역환승로 73,-,중개거래,경기 화성시
1100,경상북도 예천군 호명읍 금능리,769,0769,0000,경북도청이전신도시 트레젠웰가,22.27,202408,27,"6,075",6,법인,법인,2017, ,-,직거래,-
1101,경기도 화성시 오산동,975,0975,0000,동탄역 삼정그린코아,22.3579,202408,27,"15,524",19,개인,법인,2022,동탄광역환승로 62,-,중개거래,경기 화성시
1102,경상북도 예천군 호명읍 금능리,769,0769,0000,경북도청이전신도시 트레젠웰가,30.4,202408,27,"8,191",8,법인,법인,2017, ,-,직거래,-
1103,경상북도 예천군 호명읍 금능리,769,0769,0000,경북도청이전신도시 트레젠웰가,22.27,202408,27,"6,249",9,법인,법인,2017, ,-,직거래,-
1104,서울특별시 금천구 시흥동,882-61,0882,0061,시흥 사거리 와이즈 플레이스,18.25,202408,27,"9,200",7,개인,개인,2012,시흥대로 236,-,중개거래,서울 금천구
1105,경기도 성남시 분당구 야탑동,220-1,0220,0001,로잔티움파크,116.621,202408,27,"60,000",4,개인,개인,2004,벌말로50번길 42,-,중개거래,경기 성남시 분당구
