NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19637,경기도 용인시 수지구 죽전동,1111,1111,0,벽산첼시빌,146.274,202408,22,"94,500",-,5,개인,개인,2001,용구대로2771번길 88,-,중개거래,경기 용인시 수지구,-
19638,울산광역시 남구 야음동,462-1,462,1,번영로하늘채센트럴파크,74.707,202408,22,"63,000",-,5,개인,개인,2022,번영로16번길 14,-,중개거래,울산 남구,-
19639,울산광역시 남구 야음동,878,878,0,롯데캐슬골드1단지,84.96,202408,22,"46,000",-,20,법인,개인,2008,신선로 45,-,중개거래,울산 남구,-
19640,울산광역시 남구 야음동,878,878,0,롯데캐슬골드1단지,84.96,202408,22,"50,500",-,3,법인,개인,2008,신선로 45,-,중개거래,울산 남구,-
19641,울산광역시 남구 야음동,789-9,789,9,동부1,59.64,202408,22,"30,500",-,9,법인,개인,1995,야음로 21,-,중개거래,울산 남구,-
19642,경기도 남양주시 평내동,550,550,0,평내마을금호어울림,84.9305,202408,22,"42,750",-,2,개인,개인,2005,경춘로1256번길 24,-,중개거래,경기 남양주시,-
19643,경기도 남양주시 평내동,661,661,0,평내호평역대명루첸포레스티움,59.8129,202408,22,"45,900",-,11,개인,개인,2020,경춘로 1305,-,중개거래,경기 남양주시,-
19644,울산광역시 남구 야음동,594-10,594,10,신정현대홈타운2,84.96,202408,22,"34,000",-,4,개인,개인,1999,대암로 82,-,중개거래,울산 남구,-
19645,경기도 남양주시 평내동,606,606,0,평내마을중흥에스-클래스(2단지),84.9272,202408,22,"40,500",-,10,개인,개인,2004,의안로 148,-,중개거래,경기 남양주시,-
19646,경기도 성남시 수정구 창곡동,572,572,0,힐스테이트위례,110.86,202408,22,"162,500",-,7,개인,개인,2015,위례동로 15,-,중개거래,경기 성남시 수정구,-
19647,울산광역시 중구 유곡동,264,264,0,에일린의뜰1차,84.9646,202408,22,"48,900",-,20,개인,개인,2013,종가5길 10,-,중개거래,울산 중구,-
19648,경기도 평택시 팽성읍 안정리,360,360,0,평택브라운스톤험프리스,146.4005,202408,22,"48,000",113동,6,개인,개인,2016,신흥북로49번길 27,-,중개거래,경기 평택시,2024.8.28
19649,경기도 의정부시 신곡동,758-1,758,1,드림밸리,95.487,202408,22,"48,000",-,2,개인,개인,2002,장곡로596번길 18,-,중개거래,경기 의정부시,-
19650,경기도 의정부시 신곡동,687-1,687,1,추동,49.14,202408,22,"17,600",101,3,개인,개인,1994,능곡로 13,-,중개거래,경기 의정부시,2024.8.29
19651,경기도 의정부시 신곡동,471,471,0,신곡건영,59.8,202408,22,"19,200",-,3,개인,개인,1999,능곡로26번길 40,-,중개거래,경기 의정부시,-
19652,경기도 시흥시 은행동,644,644,0,시흥은계호반써밋플레이스,101.0232,202408,22,"75,000",-,20,개인,개인,2019,은계남로 12,-,중개거래,"경기 부천시 소사구, 경기 시흥시",-
19653,세종특별자치시  집현동,883-11,883,11,새나루마을9단지세종어울림파밀리에센트럴,59.93,202408,22,"38,500",-,4,개인,개인,2021,시청대로 642,-,중개거래,세종,-
19654,경기도 시흥시 정왕동,1876-3,1876,3,부성파스텔,59.96,202408,22,"32,000",-,10,개인,개인,1997,옥구천동로 451,-,중개거래,경기 시흥시,-
19655,울산광역시 동구 화정동,949,949,0,힐스테이트 이스턴베이,84.9083,202408,22,"41,800",-,11,개인,개인,2015,화진길 100,-,중개거래,울산 동구,-
19656,세종특별자치시  한솔동,1226,1226,0,첫마을4단지(대우푸르지오),59.95,202408,22,"32,500",-,4,개인,개인,2012,누리로 119,-,중개거래,세종,-
19657,경기도 시흥시 정왕동,1866-6,1866,6,영남5,84.88,202408,22,"31,300",-,1,개인,개인,1996,옥구천서로373번길 8-1,-,중개거래,경기 시흥시,-
