,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
106,107,강원특별자치도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,22.7,202409,10,"7,500",20,개인,개인,2019.0,공지로 453,-,중개거래,강원 춘천시
107,108,경기도 화성시 오산동,969-5,969,5,GTX광장프라자,19.06,202409,10,"11,000",12,개인,개인,2017.0, ,-,중개거래,경기 화성시
108,109,서울특별시 마포구 도화동,555,555,0,마포 한화 오벨리스크,27.56,202409,10,"27,800",4,개인,개인,2004.0,마포대로 33,-,중개거래,서울 마포구
109,110,서울특별시 마포구 노고산동,107-17,107,17,우정마샹스 오피스텔,13.52,202409,10,"8,800",14,개인,개인,2006.0,백범로 8,-,중개거래,서울 마포구
110,111,서울특별시 마포구 노고산동,107-17,107,17,우정마샹스 오피스텔,13.52,202409,10,"8,750",15,개인,개인,2006.0,백범로 8,-,중개거래,서울 마포구
111,112,서울특별시 강남구 수서동,716,716,0,사이룩스,33.52,202409,10,"23,700",8,법인,개인,2003.0,광평로 295,-,중개거래,서울 강남구
112,113,서울특별시 동작구 신대방동,698,698,0,신라스테이해링턴타워,20.34,202409,10,"14,000",3,개인,개인,2015.0,시흥대로 596,-,중개거래,서울 동작구
113,114,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,310",16,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
114,115,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
115,116,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
116,117,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
117,118,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
